tensor_path,label,label_int,dataset,source_video,n_frames,img_size
NoFights/RWF_2000_Val_NonFight_45.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_45.avi,16,224
NoFights/RWF_2000_Val_NonFight_131.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_131.avi,16,224
NoFights/RWF_2000_Val_NonFight_194.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_194.avi,16,224
NoFights/RWF_2000_Val_NonFight_190.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_190.avi,16,224
NoFights/RWF_2000_Val_NonFight_167.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_167.avi,16,224
NoFights/RWF_2000_Val_NonFight_139.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_139.avi,16,224
NoFights/RWF_2000_Val_NonFight_113.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_113.avi,16,224
NoFights/RWF_2000_Val_NonFight_114.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_114.avi,16,224
NoFights/RWF_2000_Val_NonFight_44.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_44.avi,16,224
NoFights/RWF_2000_Val_NonFight_96.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_96.avi,16,224
NoFights/RWF_2000_Val_NonFight_73.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_73.avi,16,224
NoFights/RWF_2000_Val_NonFight_123.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_123.avi,16,224
NoFights/RWF_2000_Val_NonFight_67.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_67.avi,16,224
NoFights/RWF_2000_Val_NonFight_119.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_119.avi,16,224
NoFights/RWF_2000_Val_NonFight_59.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_59.avi,16,224
NoFights/RWF_2000_Val_NonFight_111.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_111.avi,16,224
NoFights/RWF_2000_Val_NonFight_144.pt,NoFights,0,RWF_2000,RWF_2000/val/Val_NonFight/Val_NonFight_144.avi,16,224
